id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_200;1;GmbH;53115;27110;1998;191.0;GKV;16306348.7;11951174.09;2118099.15;-129830.13;-158112.53;646.26;158758.79;-287942.66;-287942.66;-292198.32;8706720.08;8002725.33;75977.52;301266.16;5179457.05;25866.41;301266.16;1335261.17;;;;;;326751.07;8514274.85;1517273.93;17492.56;1323689.85;;-1833564.04;-5465.74;121655.74
C_141;0;GmbH & Co. KG;53881;25620;1971;;GKV;833149.21;1156169.05;861817.0;98667.52;-46942.21;299.62;47241.83;51725.31;51725.31;33349.29;983926.44;1151078.8;0.0;0.0;;;;;;;;;;19552.64;338085.83;119713.67;1591.09;102128.18;;128834.82;-15003.65;-7398.76
C_897;0;GmbH & Co. KG;53809;49410;1954;;GKV;22704000.0;30912000.0;12327000.0;-2004000.0;-65000.0;4000.0;69000.0;-2069000.0;-2069000.0;-2563000.0;45322000.0;45322000.0;0.0;0.0;;;;;;;;;;0.0;28566000.0;12336000.0;5226000.0;5606000.0;;2609000.0;-352000.0;-1793000.0
C_691;0;GmbH & Co. KG;53879;22230;1969;;GKV;757717.37;711707.37;286819.67;63436.32;-8504.62;197.18;8701.8;54931.7;54931.7;51326.45;388408.13;124948.0;69548.55;32874.61;46555.83;69548.55;32874.61;52908.44;;;;;;93001.97;164411.63;58591.94;9292.53;;;61750.34;-6639.53;-47260.2
C_376;0;GmbH;53604;96090;2010;;GKV;63565982.12;63565982.12;9857666.76;631243.35;-236931.02;163768.27;304421.32;394312.33;394312.33;160685.91;28765327.8;16070493.99;2385063.16;1341700.86;7478161.92;1857794.42;928026.86;2318426.69;;;;;;8968069.79;16321004.38;5156106.8;57022.18;4506465.77;;1254681.8;-646099.71;-689204.8
C_878;0;GmbH;40211;68310;1961;35.0;GKV;58200.0;58200.0;60190.0;32720.85;-20453.36;0.53;20461.39;12267.49;12267.49;10716.6;484025.81;484025.81;0.0;0.0;;;;303.45;;;;;;;18811.99;1863.97;1863.97;;;43495.32;-71700.0;-280752.25
C_945;0;GmbH;40479;35113;2008;61.0;GKV;1460117.23;1460117.23;1461391.99;88739.5;-3602.52;;3602.52;85136.98;87819.41;61573.98;496010.83;360124.54;0.0;0.0;;;;32028.89;;;;;;135886.29;333278.08;248598.03;206437.64;;;129799.58;-120048.96;14141.08
C_523;0;GmbH;47259;52291;1928;;GKV;4114826.86;4159379.97;1056933.77;378544.94;-2209.22;;2209.22;376335.72;376335.72;274775.58;1111813.19;872412.52;48265.19;0.0;44452.3;;;510764.52;;;;;;181861.71;923611.36;871168.45;274304.43;;;86803.68;-128787.82;-7317.78
C_951;0;GmbH;46446;46693;1994;25.0;GKV;2782839.08;2782839.08;3195758.46;1326652.43;-191054.09;;191054.09;1135598.34;1135598.34;0.0;24708380.19;24661389.19;0.0;21991.0;;;;94549.17;;;;;;25000.0;2841285.74;12597.52;12597.52;;;2357298.98;-597792.91;-1748146.75
C_411;1;GmbH;45141;43341;1985;;GKV;281599.71;281599.71;407019.06;142106.81;2178.12;10713.81;8535.69;144284.93;144284.93;143199.57;598720.04;598720.04;0.0;0.0;65579.92;;;117615.47;;;;;;0.0;33604.75;5800.17;5800.17;;;44349.91;5886.71;-1.16e-10
